Architecture,Val Accuracy,Val F1,Val Loss,Test Accuracy,Test F1,Test Loss
mera,0.755,0.7303370786516854,0.5734568238258362,0.69,0.6736842105263158,0.6190599203109741
RyCNOTRy,0.76,0.7126436781609196,0.5693962574005127,0.69,0.6666666666666666,0.6186528205871582
(RyRy)CNOT(RyRx),0.765,0.7126436781609196,0.5745604634284973,0.69,0.6666666666666666,0.6206812262535095
RxRzCNOT,0.765,0.7017543859649122,0.5844547152519226,0.71,0.7070707070707071,0.6235630512237549
