Architecture,Val Accuracy,Val F1,Val Loss,Test Accuracy,Test F1,Test Loss
mera,0.815,0.819047619047619,0.5150454044342041,0.83125,0.8179775280898877,0.5247134566307068
RyCNOTRy,0.82,0.8195121951219512,0.5154208540916443,0.8458333333333333,0.827906976744186,0.5213330984115601
(RyRy)CNOT(RyRx),0.79,0.8246445497630331,0.5154588222503662,0.8291666666666667,0.8177777777777778,0.5257068276405334
RxRzCNOT,0.83,0.8301886792452831,0.5656918287277222,0.825,0.8090909090909091,0.5745894908905029
