Architecture,Val Accuracy,Val F1,Val Loss,Test Accuracy,Test F1,Test Loss
mera,0.895,0.88268156424581,0.28505316376686096,0.33734335839599,0.5022590361445783,0.8666853308677673
RyCNOTRy,0.895,0.8901098901098901,0.28323307633399963,0.33634085213032583,0.5018811136192626,0.9049786329269409
(RyRy)CNOT(RyRx),0.895,0.8901098901098901,0.2936073839664459,0.33634085213032583,0.5018811136192626,0.8868852853775024
RxRzCNOT,0.89,0.88268156424581,0.35010579228401184,0.33784461152882206,0.5024482109227872,0.782071590423584
