Architecture,Val Accuracy,Val F1,Val Loss,Test Accuracy,Test F1,Test Loss
all_data_mera,0.8975,0.8919667590027701,0.2828459143638611,0.34035087719298246,0.5033962264150943,0.7395171523094177
all_data_RyCNOTRy,0.89,0.8857938718662952,0.2819780111312866,0.34135338345864663,0.5037764350453172,0.7356909513473511
all_data_(RyRy)CNOT(RyRx),0.9025,0.8925619834710744,0.2698095738887787,0.3393483709273183,0.5030165912518854,0.7768735289573669
all_data_RxRzCNOT,0.8975,0.8857938718662952,0.27909255027770996,0.34035087719298246,0.5033962264150943,0.7598363757133484
